Date,Region,Product,Channel,Units_Sold,Revenue,Cost,Customer_Segment,Customer_Age,Satisfaction_Score
2024-01-05,North,Widget A,Online,120,14400,8400,Enterprise,42,4.2
2024-01-05,South,Widget B,Retail,85,12750,7650,SMB,35,3.8
2024-01-05,East,Widget A,Online,95,11400,6650,Enterprise,48,4.5
2024-01-05,West,Widget C,Partner,60,10800,7200,Consumer,29,3.5
2024-01-12,North,Widget B,Retail,110,16500,9900,SMB,38,4.0
2024-01-12,South,Widget A,Online,75,9000,5250,Consumer,31,3.9
2024-01-12,East,Widget C,Partner,45,8100,5400,Enterprise,55,4.1
2024-01-12,West,Widget A,Online,130,15600,9100,SMB,44,4.3
2024-01-19,North,Widget C,Partner,55,9900,6600,Consumer,27,3.6
2024-01-19,South,Widget B,Retail,90,13500,8100,Enterprise,50,4.4
2024-01-19,East,Widget A,Online,105,12600,7350,SMB,36,3.7
2024-01-19,West,Widget B,Retail,70,10500,6300,Consumer,33,4.0
2024-01-26,North,Widget A,Online,140,16800,9800,Enterprise,46,4.6
2024-01-26,South,Widget C,Partner,50,9000,6000,SMB,41,3.4
2024-01-26,East,Widget B,Retail,80,12000,7200,Consumer,28,3.8
2024-01-26,West,Widget C,Online,65,11700,7800,Enterprise,52,4.2
2024-02-02,North,Widget B,Retail,100,15000,9000,SMB,39,4.1
2024-02-02,South,Widget A,Online,88,10560,6160,Consumer,30,3.7
2024-02-02,East,Widget C,Partner,52,9360,6240,Enterprise,47,4.3
2024-02-02,West,Widget A,Retail,115,13800,8050,SMB,43,4.0
2024-02-09,North,Widget C,Online,70,12600,8400,Consumer,26,3.5
2024-02-09,South,Widget B,Partner,65,9750,5850,Enterprise,54,4.5
2024-02-09,East,Widget A,Retail,92,11040,6440,SMB,37,3.9
2024-02-09,West,Widget B,Online,78,11700,7020,Consumer,32,3.6
2024-02-16,North,Widget A,Partner,108,12960,7560,Enterprise,49,4.4
2024-02-16,South,Widget C,Retail,48,8640,5760,SMB,40,3.3
2024-02-16,East,Widget B,Online,85,12750,7650,Consumer,34,4.0
2024-02-16,West,Widget A,Partner,125,15000,8750,Enterprise,51,4.7
2024-02-23,North,Widget B,Online,95,14250,8550,SMB,45,4.2
2024-02-23,South,Widget A,Retail,72,8640,5040,Consumer,29,3.8
2024-02-23,East,Widget C,Partner,58,10440,6960,Enterprise,53,4.1
2024-02-23,West,Widget B,Retail,82,12300,7380,SMB,38,3.9
2024-03-01,North,Widget C,Online,62,11160,7440,Consumer,28,3.4
2024-03-01,South,Widget A,Partner,98,11760,6860,Enterprise,46,4.3
2024-03-01,East,Widget B,Retail,76,11400,6840,SMB,42,4.0
2024-03-01,West,Widget C,Online,55,9900,6600,Consumer,35,3.7
2024-03-08,North,Widget A,Retail,135,16200,9450,Enterprise,50,4.5
2024-03-08,South,Widget B,Online,88,13200,7920,SMB,33,3.8
2024-03-08,East,Widget C,Partner,42,7560,5040,Consumer,27,3.3
2024-03-08,West,Widget A,Retail,118,14160,8260,Enterprise,48,4.6
2024-03-15,North,Widget B,Partner,105,15750,9450,SMB,44,4.1
2024-03-15,South,Widget C,Online,58,10440,6960,Consumer,31,3.5
2024-03-15,East,Widget A,Retail,90,10800,6300,Enterprise,56,4.4
2024-03-15,West,Widget B,Online,75,11250,6750,SMB,36,3.9
2024-03-22,North,Widget C,Retail,50,9000,6000,Consumer,30,3.6
2024-03-22,South,Widget A,Partner,82,9840,5740,Enterprise,47,4.2
2024-03-22,East,Widget B,Online,95,14250,8550,SMB,41,4.0
2024-03-22,West,Widget C,Partner,48,8640,5760,Consumer,34,3.4
2024-03-29,North,Widget A,Online,145,17400,10150,Enterprise,52,4.8
2024-03-29,South,Widget B,Retail,70,10500,6300,SMB,39,3.7
2024-03-29,East,Widget C,Online,60,10800,7200,Consumer,26,3.5
2024-03-29,West,Widget A,Partner,112,13440,7840,Enterprise,45,4.3
2024-04-05,North,Widget B,Online,98,14700,8820,SMB,43,4.2
2024-04-05,South,Widget C,Retail,45,8100,5400,Consumer,32,3.3
2024-04-05,East,Widget A,Partner,88,10560,6160,Enterprise,49,4.5
2024-04-05,West,Widget B,Retail,72,10800,6480,SMB,37,3.8
2024-04-12,North,Widget A,Retail,128,15360,8960,Enterprise,51,4.6
2024-04-12,South,Widget B,Online,82,12300,7380,Consumer,28,3.9
2024-04-12,East,Widget C,Partner,55,9900,6600,SMB,40,3.5
2024-04-12,West,Widget A,Online,105,12600,7350,Enterprise,46,4.4
2024-04-19,North,Widget C,Online,68,12240,8160,Consumer,33,3.7
2024-04-19,South,Widget A,Retail,78,9360,5460,SMB,44,4.0
2024-04-19,East,Widget B,Online,92,13800,8280,Enterprise,53,4.3
2024-04-19,West,Widget C,Retail,52,9360,6240,Consumer,29,3.4
2024-04-26,North,Widget B,Partner,110,16500,9900,SMB,48,4.1
2024-04-26,South,Widget C,Online,42,7560,5040,Consumer,35,3.2
2024-04-26,East,Widget A,Retail,100,12000,7000,Enterprise,50,4.5
2024-04-26,West,Widget B,Partner,68,10200,6120,SMB,38,3.8
2024-05-03,North,Widget A,Online,138,16560,9660,Enterprise,47,4.7
2024-05-03,South,Widget B,Retail,75,11250,6750,Consumer,30,3.6
2024-05-03,East,Widget C,Online,58,10440,6960,SMB,42,3.9
2024-05-03,West,Widget A,Retail,120,14400,8400,Enterprise,54,4.4
2024-05-10,North,Widget C,Partner,55,9900,6600,Consumer,27,3.5
2024-05-10,South,Widget A,Online,92,11040,6440,SMB,41,4.1
2024-05-10,East,Widget B,Retail,80,12000,7200,Enterprise,49,4.2
2024-05-10,West,Widget C,Online,62,11160,7440,Consumer,36,3.6
2024-05-17,North,Widget B,Online,102,15300,9180,SMB,45,4.3
2024-05-17,South,Widget C,Retail,48,8640,5760,Consumer,32,3.4
2024-05-17,East,Widget A,Partner,95,11400,6650,Enterprise,52,4.5
2024-05-17,West,Widget B,Retail,85,12750,7650,SMB,39,4.0
2024-05-24,North,Widget A,Retail,132,15840,9240,Enterprise,50,4.6
2024-05-24,South,Widget B,Online,70,10500,6300,Consumer,28,3.7
2024-05-24,East,Widget C,Partner,50,9000,6000,SMB,43,3.8
2024-05-24,West,Widget A,Online,115,13800,8050,Enterprise,46,4.3
2024-05-31,North,Widget C,Online,65,11700,7800,Consumer,34,3.5
2024-05-31,South,Widget A,Partner,85,10200,5950,SMB,40,4.0
2024-05-31,East,Widget B,Retail,88,13200,7920,Enterprise,55,4.4
2024-05-31,West,Widget C,Partner,45,8100,5400,Consumer,31,3.3
2024-06-07,North,Widget A,Online,142,17040,9940,Enterprise,48,4.7
2024-06-07,South,Widget B,Retail,78,11700,7020,SMB,37,3.9
2024-06-07,East,Widget C,Online,52,9360,6240,Consumer,29,3.4
2024-06-07,West,Widget A,Retail,125,15000,8750,Enterprise,53,4.5
2024-06-14,North,Widget B,Partner,95,14250,8550,SMB,44,4.2
2024-06-14,South,Widget C,Retail,40,7200,4800,Consumer,33,3.1
2024-06-14,East,Widget A,Online,98,11760,6860,Enterprise,51,4.4
2024-06-14,West,Widget B,Online,72,10800,6480,SMB,36,3.8
2024-06-21,North,Widget C,Retail,58,10440,6960,Consumer,30,3.6
2024-06-21,South,Widget A,Partner,80,9600,5600,Enterprise,46,4.1
2024-06-21,East,Widget B,Online,90,13500,8100,SMB,42,4.0
2024-06-21,West,Widget C,Partner,48,8640,5760,Consumer,35,3.3
2024-06-28,North,Widget A,Online,148,17760,10360,Enterprise,52,4.8
2024-06-28,South,Widget B,Retail,82,12300,7380,Consumer,28,3.7
2024-06-28,East,Widget C,Online,55,9900,6600,SMB,40,3.9
2024-06-28,West,Widget A,Partner,118,14160,8260,Enterprise,49,4.6
2024-07-05,North,Widget B,Online,108,16200,9720,SMB,47,4.3
2024-07-05,South,Widget C,Retail,42,7560,5040,Consumer,31,3.2
2024-07-05,East,Widget A,Retail,102,12240,7140,Enterprise,54,4.5
2024-07-05,West,Widget B,Partner,75,11250,6750,SMB,38,3.9
2024-07-12,North,Widget A,Retail,135,16200,9450,Enterprise,50,4.7
2024-07-12,South,Widget B,Online,85,12750,7650,Consumer,34,3.8
2024-07-12,East,Widget C,Partner,48,8640,5760,SMB,43,3.5
2024-07-12,West,Widget A,Online,128,15360,8960,Enterprise,46,4.4
2024-07-19,North,Widget C,Online,72,12960,8640,Consumer,29,3.6
2024-07-19,South,Widget A,Retail,90,10800,6300,SMB,41,4.1
2024-07-19,East,Widget B,Retail,82,12300,7380,Enterprise,55,4.3
2024-07-19,West,Widget C,Retail,55,9900,6600,Consumer,32,3.4
2024-07-26,North,Widget B,Partner,112,16800,10080,SMB,48,4.2
2024-07-26,South,Widget C,Online,45,8100,5400,Consumer,36,3.3
2024-07-26,East,Widget A,Online,95,11400,6650,Enterprise,50,4.5
2024-07-26,West,Widget B,Online,78,11700,7020,SMB,39,3.8
2024-08-02,North,Widget A,Partner,125,15000,8750,Enterprise,52,4.6
2024-08-02,South,Widget B,Retail,68,10200,6120,Consumer,30,3.5
2024-08-02,East,Widget C,Online,58,10440,6960,SMB,44,3.9
2024-08-02,West,Widget A,Retail,110,13200,7700,Enterprise,47,4.3
2024-08-09,North,Widget C,Retail,50,9000,6000,Consumer,33,3.4
2024-08-09,South,Widget A,Online,95,11400,6650,SMB,42,4.2
2024-08-09,East,Widget B,Partner,75,11250,6750,Enterprise,53,4.4
2024-08-09,West,Widget C,Partner,42,7560,5040,Consumer,28,3.2
2024-08-16,North,Widget B,Online,105,15750,9450,SMB,45,4.1
2024-08-16,South,Widget C,Retail,38,6840,4560,Consumer,35,3.0
2024-08-16,East,Widget A,Retail,88,10560,6160,Enterprise,49,4.4
2024-08-16,West,Widget B,Retail,80,12000,7200,SMB,37,3.9
2024-08-23,North,Widget A,Online,140,16800,9800,Enterprise,51,4.7
2024-08-23,South,Widget B,Online,72,10800,6480,Consumer,29,3.6
2024-08-23,East,Widget C,Partner,52,9360,6240,SMB,41,3.8
2024-08-23,West,Widget A,Partner,122,14640,8540,Enterprise,48,4.5
2024-08-30,North,Widget C,Online,60,10800,7200,Consumer,34,3.5
2024-08-30,South,Widget A,Retail,82,9840,5740,SMB,40,4.0
2024-08-30,East,Widget B,Online,92,13800,8280,Enterprise,56,4.3
2024-08-30,West,Widget C,Retail,48,8640,5760,Consumer,31,3.3
2024-09-06,North,Widget A,Retail,130,15600,9100,Enterprise,47,4.6
2024-09-06,South,Widget B,Partner,78,11700,7020,SMB,43,4.1
2024-09-06,East,Widget C,Online,55,9900,6600,Consumer,27,3.4
2024-09-06,West,Widget A,Online,115,13800,8050,Enterprise,52,4.4
2024-09-13,North,Widget B,Retail,98,14700,8820,SMB,46,4.2
2024-09-13,South,Widget C,Retail,45,8100,5400,Consumer,32,3.2
2024-09-13,East,Widget A,Partner,90,10800,6300,Enterprise,50,4.5
2024-09-13,West,Widget B,Online,85,12750,7650,SMB,38,3.9
2024-09-20,North,Widget C,Partner,62,11160,7440,Consumer,30,3.6
2024-09-20,South,Widget A,Online,88,10560,6160,SMB,41,4.0
2024-09-20,East,Widget B,Retail,78,11700,7020,Enterprise,54,4.3
2024-09-20,West,Widget C,Online,50,9000,6000,Consumer,35,3.5
2024-09-27,North,Widget A,Online,145,17400,10150,Enterprise,53,4.8
2024-09-27,South,Widget B,Retail,72,10800,6480,Consumer,28,3.7
2024-09-27,East,Widget C,Partner,48,8640,5760,SMB,42,3.8
2024-09-27,West,Widget A,Retail,120,14400,8400,Enterprise,49,4.5
2024-10-04,North,Widget B,Online,110,16500,9900,SMB,45,4.3
2024-10-04,South,Widget C,Online,52,9360,6240,Consumer,33,3.4
2024-10-04,East,Widget A,Retail,95,11400,6650,Enterprise,51,4.5
2024-10-04,West,Widget B,Partner,80,12000,7200,SMB,37,3.9
2024-10-11,North,Widget A,Partner,138,16560,9660,Enterprise,48,4.7
2024-10-11,South,Widget B,Retail,75,11250,6750,Consumer,30,3.6
2024-10-11,East,Widget C,Retail,42,7560,5040,SMB,44,3.5
2024-10-11,West,Widget A,Online,125,15000,8750,Enterprise,52,4.4
2024-10-18,North,Widget C,Online,68,12240,8160,Consumer,29,3.5
2024-10-18,South,Widget A,Partner,85,10200,5950,SMB,41,4.1
2024-10-18,East,Widget B,Online,92,13800,8280,Enterprise,55,4.3
2024-10-18,West,Widget C,Retail,55,9900,6600,Consumer,36,3.4
2024-10-25,North,Widget B,Retail,102,15300,9180,SMB,47,4.2
2024-10-25,South,Widget C,Partner,40,7200,4800,Consumer,34,3.1
2024-10-25,East,Widget A,Online,98,11760,6860,Enterprise,50,4.5
2024-10-25,West,Widget B,Online,75,11250,6750,SMB,39,3.8
2024-11-01,North,Widget A,Online,150,18000,10500,Enterprise,52,4.8
2024-11-01,South,Widget B,Retail,82,12300,7380,Consumer,28,3.7
2024-11-01,East,Widget C,Partner,55,9900,6600,SMB,43,3.9
2024-11-01,West,Widget A,Retail,130,15600,9100,Enterprise,49,4.6
2024-11-08,North,Widget C,Retail,58,10440,6960,Consumer,31,3.5
2024-11-08,South,Widget A,Online,92,11040,6440,SMB,40,4.2
2024-11-08,East,Widget B,Online,88,13200,7920,Enterprise,54,4.4
2024-11-08,West,Widget C,Online,50,9000,6000,Consumer,35,3.3
2024-11-15,North,Widget B,Partner,108,16200,9720,SMB,46,4.3
2024-11-15,South,Widget C,Retail,42,7560,5040,Consumer,32,3.2
2024-11-15,East,Widget A,Retail,95,11400,6650,Enterprise,51,4.5
2024-11-15,West,Widget B,Retail,72,10800,6480,SMB,38,3.8
2024-11-22,North,Widget A,Online,155,18600,10850,Enterprise,53,4.9
2024-11-22,South,Widget B,Online,78,11700,7020,Consumer,29,3.8
2024-11-22,East,Widget C,Partner,48,8640,5760,SMB,44,3.7
2024-11-22,West,Widget A,Partner,128,15360,8960,Enterprise,48,4.5
2024-11-29,North,Widget C,Online,65,11700,7800,Consumer,34,3.6
2024-11-29,South,Widget A,Retail,85,10200,5950,SMB,41,4.0
2024-11-29,East,Widget B,Retail,82,12300,7380,Enterprise,56,4.3
2024-11-29,West,Widget C,Retail,52,9360,6240,Consumer,30,3.4
2024-12-06,North,Widget A,Retail,148,17760,10360,Enterprise,50,4.8
2024-12-06,South,Widget B,Partner,88,13200,7920,SMB,43,4.1
2024-12-06,East,Widget C,Online,58,10440,6960,Consumer,27,3.5
2024-12-06,West,Widget A,Online,135,16200,9450,Enterprise,52,4.6
2024-12-13,North,Widget B,Online,115,17250,10350,SMB,47,4.4
2024-12-13,South,Widget C,Retail,45,8100,5400,Consumer,35,3.3
2024-12-13,East,Widget A,Partner,100,12000,7000,Enterprise,49,4.5
2024-12-13,West,Widget B,Retail,82,12300,7380,SMB,36,3.9
2024-12-20,North,Widget C,Partner,70,12600,8400,Consumer,33,3.7
2024-12-20,South,Widget A,Online,95,11400,6650,SMB,42,4.2
2024-12-20,East,Widget B,Online,90,13500,8100,Enterprise,54,4.3
2024-12-20,West,Widget C,Online,55,9900,6600,Consumer,28,3.4
2024-12-27,North,Widget A,Online,160,19200,11200,Enterprise,55,4.9
2024-12-27,South,Widget B,Retail,80,12000,7200,Consumer,31,3.8
2024-12-27,East,Widget C,Partner,50,9000,6000,SMB,45,3.8
2024-12-27,West,Widget A,Retail,140,16800,9800,Enterprise,50,4.7
